inertia,acc_coef_1,acc_coef_2,swarm_size,num_iters,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.4,1.0,0.5,150,50,rastrigin,3,0.0,4.69208e-06,0.0,0.317347,0.815542
0.4,1.05,0.5,150,50,rastrigin,3,0.0,8.13961e-06,0.0,0.286084,0.906489
0.4,1.1,0.5,150,50,rastrigin,3,0.0,1.13487e-06,0.0,0.188333,0.877626
0.4,1.35,0.5,150,50,rastrigin,3,0.0,4.45366e-06,0.0,0.0795363,0.947694
0.4,1.8,0.5,150,50,rastrigin,3,0.0,4.48561e-05,0.0,0.0533854,0.912777
0.4,1.85,0.5,150,50,rastrigin,3,0.0,1.84774e-05,0.0,0.0553342,0.932966
0.4,1.9,0.5,150,50,rastrigin,3,0.0,7.71666e-05,1.90735e-06,0.049991,0.913439
0.4,2.05,0.5,150,50,rastrigin,3,0.0,5.89085e-05,9.53674e-07,0.0699096,0.959403
0.4,2.8,0.5,150,50,rastrigin,3,0.0,2.51293e-05,3.8147e-06,0.0291189,1.21302
0.4,2.85,0.5,150,50,rastrigin,3,0.0,1.08337e-05,0.0,0.0252159,0.972667
0.4,2.95,0.5,150,50,rastrigin,3,0.0,4.79603e-05,3.8147e-06,0.0461592,1.09191
0.4,1.05,0.45,150,50,rastrigin,3,0.0,5.94616e-05,0.0,0.296391,0.937433
0.4,1.3,0.45,150,50,rastrigin,3,0.0,0.000158176,7.62939e-06,0.155384,0.909213
0.4,1.65,0.45,150,50,rastrigin,3,0.0,0.00101259,0.000107765,0.120612,0.897785
0.5,1.25,3.0,150,50,rastrigin,3,3.8147e-06,0.0124121,0.00788879,0.281542,1.16384
0.5,0.0,2.95,150,50,rastrigin,3,0.0,0.000305538,2.67029e-05,0.425562,0.962722
0.5,0.1,2.95,150,50,rastrigin,3,0.0,0.000318217,3.24249e-05,0.405022,0.808113
0.5,0.25,2.95,150,50,rastrigin,3,0.0,0.000258484,1.90735e-05,0.361016,0.796923
0.5,0.05,2.9,150,50,rastrigin,3,0.0,0.000170851,1.52588e-05,0.40682,0.807761
0.5,0.25,2.9,150,50,rastrigin,3,0.0,0.000345068,1.33514e-05,0.42979,0.776867
0.5,0.3,2.9,150,50,rastrigin,3,0.0,0.000111475,1.33514e-05,0.348993,1.07014
0.5,0.0,2.85,150,50,rastrigin,3,0.0,0.0876245,2.28882e-05,0.468138,0.972062
0.5,0.1,2.85,150,50,rastrigin,3,0.0,0.0202765,9.53674e-06,0.415791,0.794578
0.5,0.15,2.85,150,50,rastrigin,3,0.0,0.0583735,7.62939e-06,0.456216,1.04707
0.5,0.25,2.85,150,50,rastrigin,3,0.0,6.50167e-05,7.62939e-06,0.403866,1.07441
0.5,0.35,2.8,150,50,rastrigin,3,0.0,0.000153317,7.62939e-06,0.368068,1.09888
0.5,0.4,2.75,150,50,rastrigin,3,0.0,0.00014987,3.8147e-06,0.412495,1.04644
0.5,0.35,2.7,150,50,rastrigin,3,0.0,0.00122471,2.86102e-06,0.419883,1.04469
0.5,0.4,2.7,150,50,rastrigin,3,0.0,0.000387306,1.90735e-06,0.418546,1.04256
0.5,0.45,2.7,150,50,rastrigin,3,0.0,2.21539e-05,1.90735e-06,0.360421,1.02526
0.5,0.5,2.7,150,50,rastrigin,3,0.0,0.000103712,2.86102e-06,0.369901,0.927387
0.5,0.7,2.7,150,50,rastrigin,3,0.0,3.38745e-05,5.72205e-06,0.288379,0.973866
0.5,1.05,2.65,150,50,rastrigin,3,0.0,8.79717e-05,3.33786e-05,0.191714,0.852255
0.5,0.4,2.6,150,50,rastrigin,3,0.0,0.097301,1.90735e-06,0.491771,1.06088
0.5,0.9,2.6,150,50,rastrigin,3,0.0,2.52533e-05,7.62939e-06,0.200273,0.849348
0.5,0.5,2.55,150,50,rastrigin,3,0.0,0.0556709,0.0,0.460767,0.827996
0.5,0.6,2.55,150,50,rastrigin,3,0.0,1.06478e-05,0.0,0.360753,0.89313
0.5,0.65,2.55,150,50,rastrigin,3,0.0,2.44093e-05,0.0,0.351284,0.9791
0.5,0.7,2.55,150,50,rastrigin,3,0.0,2.28119e-05,0.0,0.32917,0.994268
0.5,1.0,2.55,150,50,rastrigin,3,0.0,2.563e-05,5.72205e-06,0.200767,0.986988
