selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 3,195,2,100,50,rosenbrock,3,0.006456,0.059094,0.064340,0.069470,1.074045
tournament 3,200,1,100,50,rosenbrock,3,0.003415,0.030332,0.038685,0.046797,1.044205
tournament 3,80,1,100,50,rosenbrock,3,0.001157,0.026349,0.030877,0.036720,1.042710
tournament 3,195,3,100,50,rosenbrock,3,0.010956,0.046784,0.054603,0.054363,1.124635
tournament 3,65,3,100,50,rosenbrock,3,0.001181,0.050723,0.066492,0.086307,1.363710
tournament 3,85,3,100,50,rosenbrock,3,0.007503,0.078366,0.095674,0.075522,0.892855
tournament 3,145,1,100,50,rosenbrock,3,0.005040,0.018832,0.020824,0.023590,0.989135
tournament 3,150,1,100,50,rosenbrock,3,0.002821,0.018282,0.024857,0.020265,0.968965
tournament 3,145,2,100,50,rosenbrock,3,0.004014,0.056294,0.052095,0.083392,1.066860
tournament 3,150,3,100,50,rosenbrock,3,0.003136,0.055239,0.072480,0.083574,0.955435
tournament 5,10,2,100,50,rosenbrock,3,0.026364,0.375616,0.419652,0.367394,1.370030
tournament 3,155,2,100,50,rosenbrock,3,0.015497,0.098274,0.124108,0.119074,1.048115
tournament 5,15,1,100,50,rosenbrock,3,0.044178,0.129706,0.118555,0.126635,1.169955
tournament 3,155,3,100,50,rosenbrock,3,0.011717,0.051816,0.058141,0.082178,1.114820
tournament 3,165,1,100,50,rosenbrock,3,0.003763,0.021322,0.024673,0.032536,1.003085
tournament 3,35,3,100,50,rosenbrock,3,0.007173,0.076531,0.091717,0.119470,1.106400
tournament 3,160,3,100,50,rosenbrock,3,0.002237,0.032943,0.037614,0.056294,1.112525
tournament 3,110,3,100,50,rosenbrock,3,0.004006,0.059989,0.066208,0.088732,0.933895
tournament 3,180,2,100,50,rosenbrock,3,0.006245,0.058157,0.070201,0.087398,0.845770
tournament 5,35,2,100,50,rosenbrock,3,0.045833,0.166380,0.202311,0.134297,0.971760
tournament 3,165,2,100,50,rosenbrock,3,0.006637,0.052409,0.060236,0.103049,1.113285
tournament 3,165,3,100,50,rosenbrock,3,0.007649,0.049759,0.052391,0.064180,1.094950
tournament 3,50,3,100,50,rosenbrock,3,0.003693,0.065982,0.082298,0.139245,1.109285
tournament 3,170,2,100,50,rosenbrock,3,0.015327,0.068155,0.084523,0.070817,1.058440
tournament 3,180,3,100,50,rosenbrock,3,0.008812,0.062097,0.078073,0.068592,0.904625
tournament 5,35,1,100,50,rosenbrock,3,0.000118,0.028697,0.031697,0.051625,1.119385
