selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,100,1,1.493759,75,50,rastrigin,3,0.000000,0.000007,0.000008,0.000029,0.965230
roulette wheel,110,1,1.859271,75,50,rastrigin,3,0.000002,0.000052,0.000065,0.000307,0.958270
roulette wheel,120,1,0.500000,75,50,rastrigin,3,0.000004,0.000035,0.000028,0.000113,0.978705
roulette wheel,100,1,1.728444,75,50,rastrigin,3,0.000000,0.000017,0.000022,0.000771,0.905565
roulette wheel,120,1,0.578555,75,50,rastrigin,3,0.000000,0.000031,0.000037,0.000291,0.979360
roulette wheel,110,1,0.537845,75,50,rastrigin,3,0.000000,0.000029,0.000021,0.000103,0.918305
roulette wheel,110,1,0.833262,75,50,rastrigin,3,0.000006,0.000076,0.000042,0.000250,1.035300
roulette wheel,110,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000001,0.000008,1.084170
roulette wheel,110,1,0.622346,75,50,rastrigin,3,0.000000,0.000026,0.000031,0.000314,1.078090
roulette wheel,120,1,1.859271,75,50,rastrigin,3,0.000002,0.000046,0.000053,0.000326,1.067915
roulette wheel,120,1,0.774630,75,50,rastrigin,3,0.000000,0.000038,0.000042,0.000098,0.958875
roulette wheel,120,1,0.896332,75,50,rastrigin,3,0.000000,0.000022,0.000023,0.000602,0.999845
roulette wheel,120,1,0.669452,75,50,rastrigin,3,0.000000,0.000039,0.000044,0.000976,1.067445
roulette wheel,120,1,1.037155,75,50,rastrigin,3,0.000000,0.000002,0.000004,0.000019,1.067085
roulette wheel,110,1,1.290939,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000009,1.037115
roulette wheel,120,1,1.388651,75,50,rastrigin,3,0.000000,0.000008,0.000010,0.000016,1.021360
roulette wheel,120,1,1.200103,75,50,rastrigin,3,0.000000,0.000004,0.000005,0.000048,1.124485
roulette wheel,110,1,1.493759,75,50,rastrigin,3,0.000000,0.000008,0.000004,0.000093,1.043640
roulette wheel,110,1,0.720123,75,50,rastrigin,3,0.000000,0.000045,0.000053,0.000111,1.060300
roulette wheel,130,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000004,0.000012,1.191875
roulette wheel,110,1,0.964176,75,50,rastrigin,3,0.000000,0.000007,0.000005,0.000073,1.360580
roulette wheel,100,1,2.000000,75,50,rastrigin,3,0.000002,0.000100,0.000090,0.000779,1.216965
roulette wheel,130,1,0.578555,75,50,rastrigin,3,0.000000,0.000027,0.000029,0.000070,1.025670
roulette wheel,130,1,0.500000,75,50,rastrigin,3,0.000002,0.000044,0.000049,0.005505,1.255025
roulette wheel,130,1,0.774630,75,50,rastrigin,3,0.000000,0.000013,0.000009,0.000031,0.931595
roulette wheel,130,1,0.669452,75,50,rastrigin,3,0.000000,0.000011,0.000011,0.000051,1.012155
roulette wheel,130,1,0.896332,75,50,rastrigin,3,0.000000,0.000012,0.000011,0.000098,1.018005
roulette wheel,120,1,1.606822,75,50,rastrigin,3,0.000000,0.000018,0.000021,0.000121,0.890425
roulette wheel,110,1,1.728444,75,50,rastrigin,3,0.000006,0.000029,0.000034,0.000220,1.015590
roulette wheel,130,1,1.037155,75,50,rastrigin,3,0.000000,0.000005,0.000005,0.000057,0.986160
roulette wheel,130,1,1.388651,75,50,rastrigin,3,0.000000,0.000007,0.000007,0.000024,0.956245
roulette wheel,130,1,1.606822,75,50,rastrigin,3,0.000000,0.000013,0.000013,0.000034,0.894910
roulette wheel,110,1,2.000000,75,50,rastrigin,3,0.000000,0.000080,0.000075,0.000228,0.957595
roulette wheel,120,1,1.493759,75,50,rastrigin,3,0.000000,0.000005,0.000005,0.000013,1.032305
roulette wheel,140,1,0.500000,75,50,rastrigin,3,0.000002,0.000049,0.000066,0.004207,0.909565
roulette wheel,120,1,0.622346,75,50,rastrigin,3,0.000000,0.000026,0.000023,0.000198,0.979905
roulette wheel,130,1,1.859271,75,50,rastrigin,3,0.000000,0.000024,0.000014,0.000137,1.067600
roulette wheel,140,1,1.606822,75,50,rastrigin,3,0.000000,0.000038,0.000034,0.000114,1.013465
roulette wheel,140,1,0.669452,75,50,rastrigin,3,0.000000,0.000014,0.000013,0.000031,0.969810
roulette wheel,120,1,2.000000,75,50,rastrigin,3,0.000000,0.000060,0.000057,0.000729,0.884895
roulette wheel,120,1,0.833262,75,50,rastrigin,3,0.000000,0.000022,0.000021,0.000446,0.961025
roulette wheel,120,1,0.964176,75,50,rastrigin,3,0.000000,0.000010,0.000009,0.000026,0.980990
roulette wheel,140,1,0.896332,75,50,rastrigin,3,0.000000,0.000027,0.000019,0.000084,0.975025
roulette wheel,120,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000003,0.000005,0.960945
roulette wheel,140,1,1.037155,75,50,rastrigin,3,0.000000,0.000007,0.000006,0.000035,0.958615
roulette wheel,120,1,0.720123,75,50,rastrigin,3,0.000000,0.000021,0.000029,0.000160,1.027595
roulette wheel,140,1,0.774630,75,50,rastrigin,3,0.000000,0.000020,0.000023,0.000035,1.169955
roulette wheel,140,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000000,0.000034,0.926380
roulette wheel,120,1,1.290939,75,50,rastrigin,3,0.000000,0.000003,0.000005,0.000015,0.878545
roulette wheel,120,1,0.537845,75,50,rastrigin,3,0.000000,0.000022,0.000016,0.000075,0.956020
roulette wheel,140,1,1.388651,75,50,rastrigin,3,0.000000,0.000007,0.000005,0.000066,0.953850
roulette wheel,140,1,0.578555,75,50,rastrigin,3,0.000000,0.000040,0.000023,0.000248,0.961945
